"","Month","Quotes","TVadverts"
"1",11688,12.97065,7.212725
"2",11719,15.38714,9.44357
"3",11747,13.22957,7.53425
"4",11778,12.97065,7.212725
"5",11808,15.38714,9.44357
"6",11839,11.72288,6.415215
"7",11869,10.06177,5.80699
"8",11900,10.82279,6.2036
"9",11931,13.28707,7.58643
"10",11961,14.57832,8.004935
"11",11992,15.60542,8.83498
"12",12022,15.93515,8.957255
"13",12053,16.99486,9.53299
"14",12084,16.87821,9.39295
"15",12112,16.45128,8.91856
"16",12143,15.28118,8.37412
"17",12173,15.88901,9.844505
"18",12204,15.67747,9.84939
"19",12234,13.2878,8.40273
"20",12265,12.64484,7.920675
"21",12296,11.82771,7.436085
"22",12326,9.69184,6.34049
"23",12357,10.30415,6.939995
"24",12387,11.38253,6.9771
"25",12418,12.95149,8.010201
"26",12449,13.63092,9.56546
"27",12478,9.12098,6.27251
"28",12509,8.39468,5.707495
"29",12539,12.30076,7.96354
"30",12570,13.84831,8.494221
"31",12600,15.96246,9.789085
"32",12631,14.19738,8.692825
"33",12662,12.85922,8.05723
"34",12692,12.08837,7.588995
"35",12723,12.93375,8.244881
"36",12753,11.72235,6.67554
"37",12784,15.47126,9.219604
"38",12815,18.43898,10.9638
"39",12843,17.49186,10.45629
"40",12874,14.49168,8.7286
