"","Month","Sales"
"1",6209,1664.81
"2",6240,2397.53
"3",6268,2840.71
"4",6299,3547.29
"5",6329,3752.96
"6",6360,3714.74
"7",6390,4349.61
"8",6421,3566.34
"9",6452,5021.82
"10",6482,6423.48
"11",6513,7600.6
"12",6543,19756.21
"13",6574,2499.81
"14",6605,5198.24
"15",6634,7225.14
"16",6665,4806.03
"17",6695,5900.88
"18",6726,4951.34
"19",6756,6179.12
"20",6787,4752.15
"21",6818,5496.43
"22",6848,5835.1
"23",6879,12600.08
"24",6909,28541.72
"25",6940,4717.02
"26",6971,5702.63
"27",6999,9957.58
"28",7030,5304.78
"29",7060,6492.43
"30",7091,6630.8
"31",7121,7349.62
"32",7152,8176.62
"33",7183,8573.17
"34",7213,9690.5
"35",7244,15151.84
"36",7274,34061.01
"37",7305,5921.1
"38",7336,5814.58
"39",7364,12421.25
"40",7395,6369.77
"41",7425,7609.12
"42",7456,7224.75
"43",7486,8121.22
"44",7517,7979.25
"45",7548,8093.06
"46",7578,8476.7
"47",7609,17914.66
"48",7639,30114.41
"49",7670,4826.64
"50",7701,6470.23
"51",7729,9638.77
"52",7760,8821.17
"53",7790,8722.37
"54",7821,10209.48
"55",7851,11276.55
"56",7882,12552.22
"57",7913,11637.39
"58",7943,13606.89
"59",7974,21822.11
"60",8004,45060.69
"61",8035,7615.03
"62",8066,9849.69
"63",8095,14558.4
"64",8126,11587.33
"65",8156,9332.56
"66",8187,13082.09
"67",8217,16732.78
"68",8248,19888.61
"69",8279,23933.38
"70",8309,25391.35
"71",8340,36024.8
"72",8370,80721.71
"73",8401,10243.24
"74",8432,11266.88
"75",8460,21826.84
"76",8491,17357.33
"77",8521,15997.79
"78",8552,18601.53
"79",8582,26155.15
"80",8613,28586.52
"81",8644,30505.41
"82",8674,30821.33
"83",8705,46634.38
"84",8735,104660.67
